,Unnamed: 0,image_id,path,diag,target,Class,is_ood
0,0,Normal- (1691),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1691).jpg,Normal,1,Healthy,False
1,1,Normal- (1754),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1754).jpg,Normal,1,Healthy,True
2,2,Normal- (3506),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3506).jpg,Normal,1,Healthy,True
3,3,Normal- (316),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (316).jpg,Normal,1,Healthy,False
4,4,Normal- (2968),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2968).jpg,Normal,1,Healthy,False
5,5,Normal- (2647),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2647).jpg,Normal,1,Healthy,False
6,6,Normal- (2697),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2697).jpg,Normal,1,Healthy,True
7,7,Normal- (1181),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1181).jpg,Normal,1,Healthy,True
8,8,Normal- (2343),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2343).jpg,Normal,1,Healthy,True
9,9,Normal- (3139),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3139).jpg,Normal,1,Healthy,False
10,10,Normal- (2011),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2011).jpg,Normal,1,Healthy,True
11,11,Normal- (990),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (990).jpg,Normal,1,Healthy,False
12,12,Normal- (3124),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3124).jpg,Normal,1,Healthy,False
13,13,Normal- (3147),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3147).jpg,Normal,1,Healthy,False
14,14,Normal- (3047),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3047).jpg,Normal,1,Healthy,False
15,15,Normal- (1094),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1094).jpg,Normal,1,Healthy,False
16,16,Normal- (1975),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1975).jpg,Normal,1,Healthy,True
17,17,Normal- (427),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (427).jpg,Normal,1,Healthy,False
18,18,Normal- (2004),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2004).jpg,Normal,1,Healthy,False
19,19,Normal- (2529),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2529).jpg,Normal,1,Healthy,False
20,20,Normal- (1300),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1300).jpg,Normal,1,Healthy,False
21,21,Normal- (2527),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2527).jpg,Normal,1,Healthy,False
22,22,Normal- (792),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (792).jpg,Normal,1,Healthy,True
23,23,Normal- (1777),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1777).jpg,Normal,1,Healthy,False
24,24,Normal- (3403),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3403).jpg,Normal,1,Healthy,False
25,25,Normal- (1894),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1894).jpg,Normal,1,Healthy,False
26,26,Normal- (2087),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2087).jpg,Normal,1,Healthy,True
27,27,Normal- (299),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (299).jpg,Normal,1,Healthy,False
28,28,Normal- (3004),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3004).jpg,Normal,1,Healthy,False
29,29,Normal- (1699),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1699).jpg,Normal,1,Healthy,False
30,30,Normal- (2155),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2155).jpg,Normal,1,Healthy,True
31,31,Normal- (3833),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3833).jpg,Normal,1,Healthy,True
32,32,Normal- (2900),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2900).jpg,Normal,1,Healthy,True
33,33,Normal- (2279),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2279).jpg,Normal,1,Healthy,False
34,34,Normal- (2015),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2015).jpg,Normal,1,Healthy,True
35,35,Normal- (1914),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1914).jpg,Normal,1,Healthy,False
36,36,Normal- (2662),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2662).jpg,Normal,1,Healthy,False
37,37,Normal- (3513),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3513).jpg,Normal,1,Healthy,True
38,38,Normal- (2194),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2194).jpg,Normal,1,Healthy,True
39,39,Normal- (2785),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2785).jpg,Normal,1,Healthy,False
40,40,Normal- (1543),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1543).jpg,Normal,1,Healthy,False
41,41,Normal- (2869),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2869).jpg,Normal,1,Healthy,True
42,42,Normal- (1096),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1096).jpg,Normal,1,Healthy,False
43,43,Normal- (2103),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2103).jpg,Normal,1,Healthy,False
44,44,Normal- (2199),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2199).jpg,Normal,1,Healthy,False
45,45,Normal- (902),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (902).jpg,Normal,1,Healthy,True
46,46,Normal- (1043),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1043).jpg,Normal,1,Healthy,False
47,47,Normal- (2831),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2831).jpg,Normal,1,Healthy,False
48,48,Normal- (2172),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2172).jpg,Normal,1,Healthy,True
49,49,Normal- (2148),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2148).jpg,Normal,1,Healthy,True
50,50,Normal- (1462),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1462).jpg,Normal,1,Healthy,False
51,51,Normal- (1848),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1848).jpg,Normal,1,Healthy,False
52,52,Normal- (1524),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1524).jpg,Normal,1,Healthy,False
53,53,Normal- (1860),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1860).jpg,Normal,1,Healthy,False
54,54,Normal- (2882),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2882).jpg,Normal,1,Healthy,True
55,55,Normal- (360),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (360).jpg,Normal,1,Healthy,False
56,56,Normal- (3029),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3029).jpg,Normal,1,Healthy,False
57,57,Normal- (885),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (885).jpg,Normal,1,Healthy,True
58,58,Normal- (3834),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3834).jpg,Normal,1,Healthy,True
59,59,Normal- (1071),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1071).jpg,Normal,1,Healthy,False
60,60,Normal- (751),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (751).jpg,Normal,1,Healthy,False
61,61,Normal- (1735),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1735).jpg,Normal,1,Healthy,False
62,62,Normal- (3548),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3548).jpg,Normal,1,Healthy,False
63,63,Normal- (2260),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2260).jpg,Normal,1,Healthy,True
64,64,Normal- (3120),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3120).jpg,Normal,1,Healthy,False
65,65,Normal- (3196),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3196).jpg,Normal,1,Healthy,False
66,66,Normal- (298),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (298).jpg,Normal,1,Healthy,False
67,67,Normal- (148),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (148).jpg,Normal,1,Healthy,False
68,68,Normal- (3179),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3179).jpg,Normal,1,Healthy,True
69,69,Normal- (1024),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1024).jpg,Normal,1,Healthy,True
70,70,Normal- (2226),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2226).jpg,Normal,1,Healthy,True
71,71,Normal- (610),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (610).jpg,Normal,1,Healthy,False
72,72,Normal- (2769),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2769).jpg,Normal,1,Healthy,True
73,73,Normal- (1253),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1253).jpg,Normal,1,Healthy,False
74,74,Normal- (1682),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1682).jpg,Normal,1,Healthy,False
75,75,Normal- (1959),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1959).jpg,Normal,1,Healthy,True
76,76,Normal- (1128),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1128).jpg,Normal,1,Healthy,False
77,77,Normal- (1522),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1522).jpg,Normal,1,Healthy,True
78,78,Normal- (1321),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (1321).jpg,Normal,1,Healthy,False
79,79,Normal- (2671),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (2671).jpg,Normal,1,Healthy,False
80,80,Normal- (3028),/content/data/HRCT Chest Covid Data CT SCAN/Normal/Normal- (3028).jpg,Normal,1,Healthy,True
